学时,学分,课程名,上课教师,选课人数,上课班级,已排时间地点,课程容量,结课周次,结课星期,上课年级,上课专业,开课周次,开课星期,是否校公选课,课程号,课序号,开课单位,教师号,学校校区,校公选课类别,教室类型,选课课号,课程类别,调课结果,本研标志,课程性质,上课座位数
16,1,新生研习与专业导论,朱睿,,"01332401,30012401,30012402,30012403,30012404,30012405,30012406,30012407,30012408,30012409,30012410,30012411,30012412,30012413,30012414,30012415,30012416,30012417,30012418,30012419,30012420,30662401",12-19周 星期四 6-7节 理教楼304,520,19,星期四,2024级,"协和医班, 徐特立英才班, 工程力学（强基班）",12,4,否,100011007,01,宇航学院,6120170030,良乡校区,,,20242025110001100701,公共基础课程,,本科生,必修,324
32,1,学科专业导论,刘莉,,"02912401,62022401,62022402,62022403,62022404,62022405,62022406,62022407,62022408,62022409,62022410",4-19周 星期二 11-12节 理教楼304,350,19,星期二,2024级,"机械电子工程（全英文教学专业）, 宇航与机电类",4,2,否,100011008,01,宇航学院,6120100029,良乡校区,,,20242025110001100801,公共基础课程,,本科生,必修,324
64,4,流体力学核心贯通课I,"杨秀峰,吴汪霞",,"01052201,01332201","4-19周 星期一 1-2节 综教B505,4-19周 星期三 6-7节 综教B505",36,19,星期三,2022级,"工程力学（强基班）, 工程科学实验班（徐特立英才班）",4,1,否,100012001,01,宇航学院,"6120190099,6120220065",良乡校区,,,20242025110001200101,专业基础课程,,本科生,必修,60
48,3,复变函数与积分变换,吴小胜,,"01012301,01012302,01012303,01012304,01012305,01062301,40012301","4-11周 星期一 8-10节 理教楼402,4-11周 星期三 8-10节 理教楼402",199,11,星期三,2023级,"航空航天类, 航空航天工程(中外合作办学), 航空宇航与智能飞行器技术（徐特立英才班）",4,1,否,100013006,01,宇航学院,6120104357,良乡校区,,,20242025110001300601,专业基础课程,,本科生,必修,262
32,1,工程实践II,许承东,,"01012301,01012302,01012303,01012304,01012305,01062301,40012301","1周 星期二 8-10节 理教楼301,1周 星期四 8-10节 理教楼301,2周 星期一 8-10节 理教楼301,2周 星期三 8-10节 理教楼301,2周 星期五 8-10节 理教楼301",199,2,星期五,2023级,"航空航天类, 航空航天工程(中外合作办学), 航空宇航与智能飞行器技术（徐特立英才班）",1,2,否,100013007,01,宇航学院,6120102984,良乡校区,,,20242025110001300701,专业基础课程,,本科生,必修,280
32,1,工程实践I,谭大成,,"01012301,01012302,01012303,01012304,01012305,01052301,01062301,01332301,40012301","1周 星期一 8-10节 理教楼301,1周 星期三 8-10节 理教楼301,1周 星期五 8-10节 理教楼301,2周 星期二 8-10节 理教楼301,2周 星期四 8-10节 理教楼301",259,2,星期四,2023级,"航空航天类, 航空航天工程(中外合作办学), 工程力学（强基班）, 工程科学实验班（徐特立英才班）, 航空宇航与智能飞行器技术（徐特立英才班）",1,1,否,100013008,01,宇航学院,6120100050,良乡校区,,,20242025110001300801,专业基础课程,,本科生,必修,280
32,2,力学中数理方法（上）,靳艳飞,,01312201,"4-11周 星期一 1-2节 综教B306,4-11周 星期三 6-7节 文萃楼I304",30,11,星期三,2022级,工程力学,4,1,否,100013009,01,宇航学院,6120104500,良乡校区,,,20242025110001300901,专业基础课程,,本科生,必修,60
32,2,科技阅读与写作,陈亚彬,,"01052301,01332301","4-13周 星期一 3-5节 文萃楼I501,14周 星期一 3-4节 文萃楼I501",60,14,星期一,2023级,"工程力学（强基班）, 工程科学实验班（徐特立英才班）",4,1,否,100013010,01,宇航学院,6120190042,良乡校区,,,20242025110001301001,专业课,,本科生,必修,74
96,6,动力学与控制核心贯通课I,万超,,01052301,"4-19周 星期二 3-5节 综教B104,4-19周 星期四 3-5节 综教B104",30,19,星期四,2023级,工程科学实验班（徐特立英才班）,4,2,否,100013012,01,宇航学院,6120190001,良乡校区,,,20242025110001301201,专业基础课程,,本科生,选修,45
96,6,动力学与控制核心贯通课I,郭建峤,,01332301,"4-19周 星期二 8-10节 文萃楼M124,4-19周 星期四 8-10节 文萃楼M124",30,19,星期四,2023级,工程力学（强基班）,4,2,否,100013012,02,宇航学院,6120220151,良乡校区,,,20242025110001301202,专业课,,本科生,必修,42
