专业名称,课程号
协和医班,100011007
徐特立英才班,100011007
工程力学,100011007
机械电子工程,100011008
宇航与机电类,100011008
工程力学,100012001
工程科学实验班,100012001
航空航天类,100013006
航空航天工程,100013006
航空宇航与智能飞行器技术,100013006
航空航天类,100013007
航空航天工程,100013007
航空宇航与智能飞行器技术,100013007
航空航天类,100013008
航空航天工程,100013008
工程力学,100013008
工程科学实验班,100013008
航空宇航与智能飞行器技术,100013008
工程力学,100013009
工程力学,100013010
工程科学实验班,100013010
工程科学实验班,100013012
工程力学,100013012
工程力学,100013013
工程科学实验班,100013013
车辆工程,100013014
能源与动力工程,100013014
机械工程,100013014
工业工程,100013014
车辆工程,100013014
能源与动力工程,100013014
工业工程,100013014
机械工程,100013014
装甲车辆工程,100013014
智能制造工程,100013014
车辆工程,100013014
车辆工程,100013014
装甲车辆工程,100013014
机械工程,100013014
工业工程,100013014
车辆工程,100013014
能源与动力工程,100013014
机械工程,100013014
车辆工程,100013014
能源与动力工程,100013014
智能制造与智能车辆,100013014
能源与动力工程-工商管理,100013014
机械工程,100013014
工程科学实验班,100013015
工程力学,100013017
工程科学实验班,100013017
工程力学,100013018
工程科学实验班,100013018
航空航天类,100013101
智能动力与新能源班,100013101
航空航天类,100013101
航空航天工程,100013101
未来精工技术,100013101
飞行器设计与工程,100014004
武器发射工程,100014004
未来精工技术,100014004
航空宇航与智能飞行器技术,100014004
航空航天工程,100014007
飞行器设计与工程,100014010
航空航天工程,100014010
武器发射工程,100014010
航空宇航与智能飞行器技术,100014010
工程力学,100014011
工程力学,100014011
工程科学实验班,100014011
工程力学,100015003
工程力学,100015003
工程科学实验班,100015003
工程力学,100015004
工程力学,100015004
工程科学实验班,100015004
工程力学,100015005
工程力学,100015005
工程科学实验班,100015005
工程力学,100015006
工程力学,100015007
工程科学实验班,100015007
工程力学,100015008
工程力学,100015011
工程力学,100015011
工程科学实验班,100015011
飞行器设计与工程,100015014
武器发射工程,100015014
探测制导与控制技术,100015014
未来精工技术,100015014
航空宇航与智能飞行器技术,100015014
航空航天工程,100015015
航空航天工程,100015016
航空航天工程,100015019
智能无人系统技术,100015019
航空航天工程,100015019
智能无人系统技术,100015019
航空航天工程,100015020
智能无人系统技术,100015020
航空航天工程,100015020
智能无人系统技术,100015020
飞行器设计与工程,100015022
未来精工技术,100015022
探测制导与控制技术,100015025
武器发射工程,100015026
探测制导与控制技术,100015026
探测制导与控制技术,100015028
飞行器动力工程,100015033
飞行器动力工程,100015035
武器发射工程,100015036
飞行器设计与工程,100015037
航空航天工程,100015037
武器发射工程,100015037
工程科学实验班,100015037
航空宇航与智能飞行器技术,100015037
飞行器设计与工程,100015038
飞行器动力工程,100015041
航空航天工程,100015042
工程力学,100015043
飞行器设计与工程,100015044
工程科学实验班,100015044
工程力学,100015045
工程科学实验班,100015045
航空航天工程,100015047
航空航天工程,100015047
飞行器动力工程,100015048
飞行器动力工程,100015049
飞行器动力工程,100015050
航空宇航与智能飞行器技术,100015051
武器发射工程,100015052
探测制导与控制技术,100015056
航空宇航与智能飞行器技术,100015057
航空宇航与智能飞行器技术,100015058
工程力学,100015102
飞行器设计与工程,100015106
未来精工技术,100015106
武器发射工程,100015106
飞行器设计与工程,100015113
探测制导与控制技术,100015113
未来精工技术,100015113
航空宇航与智能飞行器技术,100015113
航空航天工程,100015117
武器发射工程,100015122
探测制导与控制技术,100015122
武器发射工程,100015123
探测制导与控制技术,100016026
探测制导与控制技术,100016027
武器发射工程,100016038
武器发射工程,100016046
未来精工技术,100016059
探测制导与控制技术,100016133
机械工程,101013001
机械电子工程,101013001
机械工程,101013001
航空航天工程,101013001
机械电子工程,101013001
飞行器设计与工程,102015012
飞行器动力工程,102015012
武器发射工程,102015012
探测制导与控制技术,102015012
未来精工技术,102015012
工程科学实验班,102015012
航空宇航与智能飞行器技术,102015012
宇航与机电类,100020010
宇航与机电类,100020010
宇航与机电类,100020010
