major_id,major_name
1,产品设计
2,人工智能
3,人工智能-工商管理
4,会计学
5,会计学（中外合作办学）
6,低空技术与工程
7,体育教育
8,信息与计算科学
9,信息与计算科学-电子信息工程
10,信息对抗技术
11,信息科学技术
12,信息管理与信息系统
13,信息管理与信息系统-英语
14,信息管理与信息系统（北京外国语大学英语专业联合培养）
15,光电信息与智能感测
16,光电信息科学与工程
17,全球治理班
18,公共事业管理
19,制药工程
20,化学
21,化学工程与工艺
22,化学工程与工艺-工商管理
23,化学类-化学菁英班
24,化学（强基班）
25,化工与制药类
26,医工融合实验班
27,协和医班
28,国际经济与贸易
29,国际经济与贸易（全英文教学专业）
30,宇航与机电类
31,安全工程
32,密码科学与技术
33,工业工程
34,工业设计
35,工商管理
36,工程力学
37,工程力学（强基班）
38,工程科学实验班
39,应用化学
40,应用化学-机械工程
41,应用物理学
42,应用物理学-电子科学与技术
43,应用物理学-网络空间安全
44,应用物理学（强基班）
45,应用物理学（电子科学方向强基班）
46,弹药工程与爆炸技术
47,徐特立化学班
48,徐特立数学班
49,徐特立物理班
50,徐特立英才班
51,微电子科学与工程
52,德语
53,德语-机械工程
54,德语-车辆工程
55,探测制导与控制技术
56,数学与应用数学
57,数学与应用数学（强基班）
58,数学与应用数学（拔尖基地班）
59,数学与应用数学（智能科学方向强基班）
60,数学与统计学类
61,数据科学与大数据技术
62,数据科学与大数据技术（全英文教学专业）
63,新能源材料与器件
64,新能源材料与器件-工商管理
65,日语
66,智能制造与智能车辆
67,智能制造与智能车辆精英班
68,智能制造工程
69,智能动力与新能源班
70,智能医学工程
71,智能感知工程
72,智能无人系统技术
73,智能无人系统技术（强基机电班）
74,智能无人系统技术（强基车辆班）
75,智能机电系统
76,智能装备技术
77,智能装备技术特色班
78,未来精工技术
79,机器人工程
80,机械工程
81,机械工程-德语
82,机械工程（全英文教学专业）
83,机械电子工程
84,机械电子工程（全英文教学专业）
85,机电类
86,李泽湘双创特色班
87,材料化学
88,材料成型及控制工程
89,材料科学与工程
90,材料类
91,武器发射工程
92,武器系统与工程
93,法学
94,法学-人工智能
95,法学（中国政法大学法学专业联合培养）
96,测控技术与仪器
97,物联网工程
98,物质科学与新材料班
99,特种能源技术与工程
100,环境设计
101,理学与材料
102,理科试验班
103,生物医学工程
104,生物技术
105,生物技术-人工智能
106,生物技术-生物科学
107,生物技术（中国农业大学生物科学专业联合培养）
108,生物科学-生物医学工程
109,电子与计算机工程
110,电子信息实验班
111,电子信息工程
112,电子封装技术
113,电子科学与技术
114,电子科学与技术（全英文教学专业）
115,电气工程及其自动化
116,社会工作
117,社会科学试验班
118,经济学
119,经济管理实验班
120,经济管理试验班
121,统计学
122,统计学-密码科学与技术
123,网络空间安全
124,网络空间安全类
125,能源与动力工程
126,能源与动力工程-工商管理
127,能源化学工程
128,自动化
129,自动化（全英文教学专业）
130,航空宇航与智能飞行器技术
131,航空航天工程
132,航空航天类
133,英语
134,英语-法学
135,装甲车辆工程
136,西班牙语
137,视觉传达设计
138,计算机科学与技术
139,计算机科学与技术（拔尖基地班）
140,计算机科学拔尖班
141,设计学类
142,车辆工程
143,软件工程
144,通信工程
145,量子信息科学
146,金融科技
147,集成电路与电子类
148,飞行器动力工程
149,飞行器设计与工程
150,高分子材料与工程
151,高分子材料与工程（强基班）
